series,"01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024"
United States Offenses,7,3,5,4,6,5,10,8,4,10,3,5,2,1,7,1,5,2,,7,5,6,3,5,2,5,4,6,6,7,2,3,11,9,4,6,7,8,3,10,14,13,11,8,6,12,11,7,7,7,10,4,13,7,8,11,7,4,7,14,13,14,10,11,17,12,8,11,13,13,9,11,12,6,5,6,19,11,16,13,11,12,9,11,14,12,18,8,15,9,15,18,10,17,16,7,12,17,14,21,25,15,29,17,20,19,31,25,21,14,11,7,15,15,19,23,17,18,11,15,15,11,6,7,9,7,9,5,5,9,9,16,7,6,4,2,14,9,12,18,10,14,10,5,19,12,14,15,17,14,7,7,13,10,14,12,10,12,23,9,11,27,17,22,19,15,15,14,13,12,7,7,7,7,11,7,7,11,8,17,,,,,,,,,,,
United States Incidents,7,3,5,4,5,5,10,8,4,9,3,5,2,1,7,1,5,2,,7,5,6,3,5,1,5,4,6,6,7,2,3,11,9,4,6,7,8,3,9,13,13,10,8,6,10,11,7,6,6,9,4,11,7,8,11,7,4,6,14,13,14,10,10,17,11,8,10,13,12,9,11,12,6,5,6,19,11,16,13,11,12,9,11,14,12,18,8,15,9,15,18,10,17,16,6,12,17,14,21,25,15,28,17,20,19,31,25,21,14,11,7,14,15,19,23,16,18,11,15,15,11,6,7,9,7,9,5,5,9,9,15,7,6,4,2,13,9,12,18,9,14,10,5,19,11,14,15,17,14,7,7,13,10,13,12,10,12,23,9,11,22,17,22,18,15,14,14,13,12,7,7,7,7,10,7,7,10,8,17,,,,,,,,,,,
