series,"01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024"
United States Offenses,47,58,62,48,66,66,52,72,62,76,67,39,60,52,60,58,69,57,66,73,77,87,58,43,38,37,51,64,85,82,86,88,71,78,47,55,63,65,70,59,52,65,73,74,69,67,50,41,50,51,65,59,83,95,76,86,67,52,54,47,37,53,54,54,58,69,51,67,47,67,39,33,50,41,46,48,57,86,87,63,51,67,46,52,36,52,62,61,59,88,78,49,64,65,73,42,61,43,66,61,65,59,52,56,74,64,48,66,55,63,55,63,86,84,71,60,70,80,44,50,58,43,69,66,70,80,86,78,73,90,62,62,53,76,67,42,58,87,76,99,71,101,67,63,65,51,67,101,91,101,103,103,98,94,75,96,82,91,100,85,109,154,114,110,100,100,72,84,72,77,89,96,92,162,103,98,128,97,84,84,,,,,,,,,,,
United States Incidents,46,54,58,47,64,63,51,68,61,76,61,38,56,48,58,57,68,55,66,72,76,84,58,42,38,37,50,62,83,80,85,85,69,78,45,54,58,64,68,58,51,63,72,70,68,67,49,40,48,50,65,58,80,91,74,82,66,52,51,46,37,51,52,54,58,67,51,62,47,65,38,32,49,41,46,47,53,82,83,61,51,65,44,46,35,49,60,61,57,86,74,48,60,63,70,40,57,43,63,59,64,58,52,56,70,62,47,61,54,60,51,62,84,82,66,59,69,76,43,49,55,42,66,62,70,77,85,75,73,87,61,62,53,75,63,39,56,83,76,96,69,101,65,60,61,49,67,97,90,99,101,101,97,94,74,92,81,90,96,85,105,151,109,105,98,96,69,83,70,72,88,95,90,149,97,96,120,90,81,83,,,,,,,,,,,
