series,"01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024"
United States Offenses,28,44,48,34,58,49,51,67,63,50,31,38,55,31,44,54,55,48,53,51,61,63,42,39,46,30,45,41,53,49,53,42,44,55,44,36,48,59,62,60,70,74,64,44,69,61,50,40,41,39,49,50,64,69,83,79,61,61,44,50,29,28,49,60,75,59,45,67,63,60,42,58,31,31,47,44,49,64,79,65,67,50,53,52,49,46,59,56,52,54,131,65,89,61,87,52,56,51,61,60,64,71,56,75,67,62,59,72,60,45,59,61,73,74,79,84,86,88,68,63,31,41,59,61,78,55,61,72,68,82,58,61,53,48,49,42,78,200,152,131,153,115,92,72,77,61,107,112,104,114,116,101,103,126,80,92,80,76,79,68,106,92,93,99,96,98,79,62,68,58,67,68,75,61,98,96,74,79,70,81,,,,,,,,,,,
United States Incidents,28,42,47,34,56,46,49,61,61,47,30,38,53,30,42,53,54,44,53,49,57,60,42,38,45,29,45,41,51,49,51,42,43,55,42,35,47,58,60,60,68,72,63,44,65,59,48,40,37,39,49,50,63,66,81,76,59,61,42,47,28,28,47,57,73,57,44,67,60,55,40,58,31,30,46,43,49,62,72,64,66,50,51,47,46,45,57,54,49,54,115,61,82,60,81,50,53,48,60,58,61,68,53,73,63,57,57,71,57,44,58,59,69,70,76,81,76,81,65,60,31,40,58,60,74,54,59,68,66,79,58,59,47,45,47,39,75,186,146,125,143,107,86,67,76,60,104,106,101,107,111,99,100,123,77,90,79,76,73,68,101,92,93,97,92,92,76,61,67,55,64,64,73,60,96,93,73,78,66,79,,,,,,,,,,,
