series,"01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024"
United States Offenses,13,12,8,8,11,14,15,14,9,12,10,6,20,8,18,14,8,16,17,16,15,10,11,8,6,13,18,15,13,14,3,9,10,9,19,10,15,19,12,13,17,17,7,5,15,6,12,11,14,10,7,12,17,18,13,11,8,13,9,9,17,32,12,10,12,8,10,8,12,10,11,8,7,13,10,12,13,15,8,9,8,5,8,9,7,8,6,7,11,18,9,10,9,7,17,12,6,18,12,8,14,10,6,18,7,12,10,18,10,12,11,11,11,12,21,10,19,13,13,18,10,13,19,20,18,18,18,17,14,18,20,23,19,16,55,52,44,39,27,20,30,26,18,19,17,31,133,133,102,107,67,54,45,36,47,39,29,49,58,35,66,43,62,52,40,38,36,42,47,47,33,39,37,24,24,55,38,42,34,29,,,,,,,,,,,
United States Incidents,12,11,8,8,11,14,14,14,9,12,9,6,17,6,18,14,7,15,17,15,14,10,11,8,6,11,18,15,13,14,3,9,10,9,19,10,13,18,12,13,17,17,7,5,14,6,10,11,13,10,7,12,16,17,12,10,8,12,8,9,13,32,10,8,12,8,10,8,10,10,11,7,7,12,10,12,13,15,8,9,8,5,7,9,7,8,5,7,11,15,9,10,8,7,16,12,6,15,12,8,13,10,6,17,7,11,10,17,8,10,8,11,10,12,20,10,17,13,13,18,10,13,18,19,18,15,18,16,14,17,19,22,18,16,55,51,44,39,26,19,29,26,17,19,16,31,130,127,97,104,67,50,40,35,47,39,28,48,56,33,65,40,55,49,40,37,35,41,45,44,33,39,36,23,23,51,36,40,32,28,,,,,,,,,,,
