series,"01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024"
United States Offenses,183,186,205,198,216,224,211,243,226,223,167,129,138,165,215,237,205,200,211,197,226,196,160,119,159,143,189,192,202,178,197,215,191,181,163,146,162,180,216,194,220,167,213,215,167,171,126,114,138,133,163,178,187,188,209,204,165,160,137,107,118,128,133,145,159,146,155,173,148,165,119,127,129,116,136,157,172,177,187,180,162,146,144,111,106,103,160,142,140,159,159,176,179,178,210,142,125,151,167,188,210,215,195,213,206,214,178,122,140,141,155,183,186,184,201,196,168,191,163,184,151,168,185,210,209,194,216,233,234,211,191,178,171,201,185,138,258,747,513,429,346,338,279,197,288,239,287,321,361,368,296,297,300,351,289,244,239,329,322,321,391,358,327,326,302,329,284,254,276,259,283,308,300,290,274,275,304,292,281,225,,,,,,,,,,,
United States Incidents,172,175,195,189,211,214,199,231,218,211,161,124,137,161,210,223,200,196,205,191,220,190,154,115,158,138,184,187,198,173,192,209,187,175,159,142,159,171,206,188,212,159,200,206,162,164,124,110,135,129,162,173,178,181,203,199,159,155,137,100,113,125,124,142,156,140,148,167,144,164,116,119,126,112,130,157,166,172,181,175,153,141,141,103,103,102,152,138,133,154,152,172,176,172,205,132,121,145,160,176,202,211,186,207,198,206,171,120,132,137,150,178,171,179,190,181,164,182,157,176,149,162,177,200,201,186,208,221,225,207,188,175,165,196,175,137,250,723,495,415,337,334,275,188,276,233,272,306,341,349,288,286,289,342,278,238,224,317,312,306,373,343,314,304,296,318,274,252,264,242,268,298,288,271,260,265,294,278,276,220,,,,,,,,,,,
