series,"01-2009","02-2009","03-2009","04-2009","05-2009","06-2009","07-2009","08-2009","09-2009","10-2009","11-2009","12-2009","01-2010","02-2010","03-2010","04-2010","05-2010","06-2010","07-2010","08-2010","09-2010","10-2010","11-2010","12-2010","01-2011","02-2011","03-2011","04-2011","05-2011","06-2011","07-2011","08-2011","09-2011","10-2011","11-2011","12-2011","01-2012","02-2012","03-2012","04-2012","05-2012","06-2012","07-2012","08-2012","09-2012","10-2012","11-2012","12-2012","01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024"
United States Offenses,495,518,589,566,638,611,586,670,613,651,525,413,494,455,617,691,632,560,573,636,682,655,485,373,451,400,534,554,603,573,574,591,569,603,495,520,577,563,609,589,650,587,634,590,608,531,477,383,421,411,489,540,593,596,621,602,536,538,457,425,345,398,465,505,530,529,530,579,531,573,395,415,420,376,449,519,574,581,624,561,494,480,480,484,397,397,513,498,515,562,652,541,561,582,790,515,579,604,669,597,689,671,644,704,674,670,603,503,505,512,586,573,693,659,705,671,667,725,599,610,525,507,687,668,729,710,728,757,749,763,644,662,614,636,641,517,769,1504,1153,1089,983,979,770,646,761,650,955,1066,1120,1184,1003,990,1002,1040,849,822,764,952,996,941,1233,1250,1128,1061,1045,1074,938,849,855,871,937,971,1019,1165,964,1001,1004,1342,1260,1018,,,,,,,,,,,
United States Incidents,478,491,565,549,615,591,557,639,594,628,500,405,474,437,600,663,613,538,558,619,657,634,473,362,438,386,518,544,593,557,560,576,555,588,482,502,560,544,588,577,629,571,610,568,590,517,465,371,404,400,483,529,569,574,604,584,518,526,445,408,327,389,441,489,520,511,513,562,508,559,385,393,410,364,436,512,558,562,592,542,481,468,462,456,382,384,495,489,493,541,613,522,535,567,758,491,554,584,651,570,660,653,615,683,646,642,586,483,486,496,551,553,651,632,661,647,636,691,583,587,513,490,664,644,711,682,706,722,723,744,629,642,593,618,621,497,742,1444,1121,1050,948,958,749,620,730,628,921,1024,1077,1124,963,955,964,1006,823,799,734,924,956,915,1186,1192,1076,1008,1011,1031,897,836,817,825,900,934,981,1078,913,951,966,1285,1216,991,,,,,,,,,,,
